Datum;Waterhoogte (m AD)
2004-06-21 00:00:00;0.5
2004-06-21 00:15:00;0.8002103
2004-06-21 00:30:00;1.095284
2004-06-21 00:45:00;1.380172
2004-06-21 01:00:00;1.65
2004-06-21 01:15:00;2.000151
2004-06-21 01:30:00;2.126345
2004-06-21 01:45:00;2.324713
2004-06-21 02:00:00;2.491858
2004-06-21 02:15:00;2.624923
2004-06-21 02:30:00;2.721629
2004-06-21 02:45:00;2.780323
2004-06-21 03:00:00;2.8
2004-06-21 03:15:00;2.780323
2004-06-21 03:30:00;2.721629
2004-06-21 03:45:00;2.624923
2004-06-21 04:00:00;2.491858
2004-06-21 04:15:00;2.324713
2004-06-21 04:30:00;2.126345
2004-06-21 04:45:00;1.900151
2004-06-21 05:00:00;1.67
2004-06-21 05:15:00;1.380172
2004-06-21 05:30:00;1.095284
2004-06-21 05:45:00;0.8002103
2004-06-21 06:00:00;0.5
2004-06-21 06:15:00;-0.8002103
2004-06-21 06:30:00;-1.095284
2004-06-21 06:45:00;-1.380172
2004-06-21 07:00:00;-1.67
2004-06-21 07:15:00;-1.900151
2004-06-21 07:30:00;-2.126345
2004-06-21 07:45:00;-2.324713
2004-06-21 08:00:00;-2.491858
2004-06-21 08:15:00;-2.624923
2004-06-21 08:30:00;-2.721629
2004-06-21 08:45:00;-2.780323
2004-06-21 09:00:00;-2.8
2004-06-21 09:15:00;-2.780323
2004-06-21 09:30:00;-2.721629
2004-06-21 09:45:00;-2.624923
2004-06-21 10:00:00;-2.491858
2004-06-21 10:15:00;-2.324713
2004-06-21 10:30:00;-2.126345
2004-06-21 10:45:00;-1.900151
2004-06-21 11:00:00;-1.67
2004-06-21 11:15:00;-1.380172
2004-06-21 11:30:00;-1.095284
2004-06-21 11:45:00;-0.8002103
